phase 384
delta 1.05 0.07
ebv 0.20
Rv 3.1
redshift 0.001458
flux_scale 1e16
resolution 2
vSi 15.00 0.15
3075.40 -2.63097632e-17 1.34742772e-16
3075.60 -1.96990892e-16 1.34754485e-16
3075.80 -7.65157618e-17 1.34707395e-16
3076.00 2.48926378e-18 1.33042274e-16
3076.20 4.31096095e-17 1.31042389e-16
3076.40 1.11678581e-16 1.32353888e-16
3076.60 -1.34892141e-16 1.29662282e-16
3076.80 -2.12623947e-17 1.29992227e-16
3077.00 2.08043891e-16 1.28112357e-16
3077.20 -1.83638265e-17 1.26883034e-16
3077.40 3.03283879e-16 1.26730886e-16
3077.60 -4.92176964e-17 1.26476101e-16
3077.80 -5.96293725e-17 1.27518613e-16
3078.00 -6.09740108e-17 1.26726929e-16
3078.20 3.89101558e-17 1.25390522e-16
3078.40 1.27751124e-16 1.24320839e-16
3078.60 9.48136917e-17 1.20367868e-16
3078.80 5.32295389e-17 1.24765928e-16
3079.00 -2.03173320e-16 1.23611568e-16
3079.20 -4.99863259e-17 1.23964728e-16
3079.40 -7.10666797e-17 1.21396299e-16
3079.60 1.33664975e-16 1.15341165e-16
3079.80 -1.00312846e-17 1.18722110e-16
3080.00 -5.62001273e-18 1.20094634e-16
3080.20 -8.75563862e-17 1.19302367e-16
3080.40 -9.53982768e-17 1.17125704e-16
3080.60 -4.17377867e-17 1.16268732e-16
3080.80 9.70247257e-17 1.13677499e-16
3081.00 2.97442899e-16 1.17475661e-16
3081.20 -3.87136872e-17 1.15866127e-16
3081.40 -1.66027934e-16 1.15794420e-16
3081.60 -4.52073660e-17 1.11981978e-16
3081.80 9.07448366e-17 1.10218177e-16
3082.00 1.46856283e-16 1.12209075e-16
3082.20 -7.55203723e-17 1.13014961e-16
3082.40 -1.70485537e-16 1.12695907e-16
3082.60 -1.28114911e-16 1.11179546e-16
3082.80 3.60928779e-17 1.10371060e-16
3083.00 1.45810303e-16 1.06424277e-16
3083.20 -9.87237083e-17 1.08937251e-16
3083.40 -7.71728476e-17 1.07270886e-16
3083.60 -1.68899442e-16 1.09743898e-16
3083.80 5.62202832e-17 1.07864306e-16
3084.00 -1.13887590e-16 1.07370770e-16
3084.20 1.21849594e-16 1.06525868e-16
3084.40 -9.57977389e-17 1.04362202e-16
3084.60 -3.12598171e-16 1.07455811e-16
3084.80 -1.78342231e-16 1.06236414e-16
3085.00 3.06444311e-17 1.02832546e-16
3085.20 1.48130313e-16 1.03139099e-16
3085.40 1.06866110e-16 1.01419999e-16
3085.60 -7.82663075e-17 1.01276778e-16
3085.80 -1.23140604e-16 1.03260073e-16
3086.00 4.33042492e-18 1.03066724e-16
3086.20 1.57113150e-16 1.02847051e-16
3086.40 3.39746321e-18 1.01617835e-16
3086.60 1.47360754e-17 1.01977976e-16
3086.80 1.35907028e-19 1.01300118e-16
3087.00 -9.11598563e-17 1.00072979e-16
3087.20 -2.21608899e-16 9.89583563e-17
3087.40 -9.59256342e-17 9.75176062e-17
3087.60 3.12188207e-16 9.76388246e-17
3087.80 1.18555082e-17 9.68075874e-17
3088.00 1.70256468e-16 9.64500601e-17
3088.20 -1.53674236e-16 9.69057705e-17
3088.40 2.55803272e-17 9.34248555e-17
3088.60 8.39386490e-17 9.44271734e-17
3088.80 -7.42457135e-17 9.28984775e-17
3089.00 2.49785252e-17 9.32522593e-17
3089.20 -1.32820153e-16 9.24772374e-17
3089.40 -1.31570182e-17 9.43155503e-17
3089.60 -3.76383027e-17 9.13845583e-17
3089.80 1.11109772e-16 8.99277873e-17
3090.00 -6.49004784e-17 8.85593460e-17
3090.20 1.91940048e-17 9.23430356e-17
3090.40 -1.00589841e-16 8.93193199e-17
3090.60 5.79359220e-17 8.95050980e-17
3090.80 6.35190484e-16 9.93497782e-17
3091.00 5.90041960e-17 8.77377439e-17
3091.20 -1.32627550e-17 8.74606649e-17
3091.40 -1.08618608e-16 8.70337735e-17
3091.60 -2.18887723e-17 8.72806770e-17
3091.80 -1.32531487e-16 8.82269849e-17
3092.00 -3.84098240e-17 8.61975932e-17
3092.20 2.39446983e-17 8.45047449e-17
3092.40 2.26513180e-16 8.77409732e-17
3092.60 -1.09985210e-16 8.49041474e-17
3092.80 4.55656973e-17 8.21208964e-17
3093.00 4.45557164e-17 8.41470389e-17
3093.20 7.48433018e-17 8.20838917e-17
3093.40 1.03050770e-16 8.09811342e-17
3093.60 -8.43396330e-17 8.20711332e-17
3093.80 -6.23025092e-17 8.09749072e-17
3094.00 -4.93112042e-17 8.17151081e-17
3094.20 7.61707877e-17 8.05321207e-17
3094.40 4.80462763e-17 7.91814340e-17
3094.60 4.49341880e-17 7.91109450e-17
3094.80 3.53171512e-17 7.92469599e-17
3095.00 -1.41405255e-16 8.00706796e-17
3095.20 -1.30527327e-16 7.96455551e-17
3095.40 4.16519915e-17 7.92131117e-17
3095.60 7.85681557e-17 7.78225351e-17
3095.80 5.04186700e-17 7.69429377e-17
3096.00 5.28576253e-17 7.77718124e-17
3096.20 -1.01901498e-16 7.80362322e-17
3096.40 -1.21610572e-16 7.83133642e-17
3096.60 -7.89044079e-17 7.60872557e-17
3096.80 1.68860849e-16 7.46774422e-17
3097.00 6.44728855e-17 7.54800985e-17
3097.20 -4.91515650e-17 7.54606565e-17
3097.40 -1.99365979e-17 7.52822303e-17
3097.60 -1.17025625e-17 7.53945085e-17
3097.80 4.38488674e-17 7.34378028e-17
3098.00 6.20980500e-17 7.43347379e-17
3098.20 -1.13337045e-16 7.48090102e-17
3098.40 -1.83835283e-17 7.35059824e-17
3098.60 -3.84833637e-17 7.44034469e-17
3098.80 -1.12876762e-16 7.41110352e-17
3099.00 1.28349141e-17 7.23103888e-17
3099.20 8.79056748e-18 7.09087478e-17
3099.40 4.68967798e-17 7.21891770e-17
3099.60 -7.39035717e-17 7.14820369e-17
3099.80 -6.10919734e-17 7.31237852e-17
3100.00 4.60848706e-18 7.04354880e-17
3100.20 -1.00071563e-16 7.03153416e-17
3100.40 -4.50588474e-17 7.08443203e-17
3100.60 -4.63378903e-17 6.98604717e-17
3100.80 -4.91012228e-17 7.02065707e-17
3101.00 7.48594318e-18 7.04047565e-17
3101.20 2.92901644e-17 6.85395172e-17
3101.40 -1.20068202e-17 6.82077847e-17
3101.60 6.06516685e-17 6.88806332e-17
3101.80 7.18220875e-17 6.85629099e-17
3102.00 -1.09960017e-16 6.99426471e-17
3102.20 -1.38490827e-16 6.85726375e-17
3102.40 -2.08456578e-17 6.69515157e-17
3102.60 6.35128663e-17 6.88211954e-17
3102.80 6.40919060e-17 6.78768463e-17
3103.00 2.91442717e-18 6.69063516e-17
3103.20 -1.79784745e-17 6.79617944e-17
3103.40 1.29416986e-16 6.68623258e-17
3103.60 -1.98495010e-20 6.60463088e-17
3103.80 5.29862784e-17 6.64384454e-17
3104.00 5.96796320e-17 6.74163515e-17
3104.20 -4.51876593e-17 6.64187254e-17
3104.40 5.70988880e-17 6.64007127e-17
3104.60 -1.29723923e-17 6.67196471e-17
3104.80 1.15135521e-16 6.58973236e-17
3105.00 -1.47877857e-16 6.43798641e-17
3105.20 -3.04156528e-17 6.66072564e-17
3105.40 -1.24603973e-16 6.61798885e-17
3105.60 -5.61131799e-17 6.54838988e-17
3105.80 7.85057730e-17 6.41224587e-17
3106.00 -7.61951333e-17 6.50249128e-17
3106.20 9.14837339e-17 6.45985574e-17
3106.40 -3.62425844e-17 6.46817586e-17
3106.60 -2.80645507e-17 6.43313847e-17
3106.80 -8.52803955e-17 6.33338909e-17
3107.00 -2.67208024e-17 6.30028202e-17
3107.20 3.63684482e-17 6.41854634e-17
